original_id,final_id,decision,execution_status_before,semantic_status_before,decision_reason,question_action,sql_action,validation_status_after,evidence_path
GT001,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT002,SIHRD5_Q018,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q018.json
GT003,SIHRD5_Q002,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q002.json
GT004,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT005,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT006,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT007,SIHRD5_Q002,rewrite,ok,ambiguous_uti_proxy_val_uti,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q002.json
GT008,SIHRD5_Q033,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q033.json
GT009,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT010,,rewrite,ok,wrong_espec_code_obstetricia,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT011,,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT012,,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT013,,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT014,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT015,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT017,,rewrite,ok,dias_perm_quality_caveat,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT018,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT019,,rewrite,error,schema_error: colunas antigas de municipios;wrong_espec_code_obstetricia,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT021,SIHRD5_Q049,rewrite,error,schema_error: tabela inexistente atendimentos,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q049.json
GT022,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT023,,rewrite,ok,ambiguous_uti_proxy_val_uti,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT024,,rewrite,ok,non_compact_result,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT025,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT026,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT027,,rewrite,ok,ambiguous_uti_proxy_val_uti;wrong_espec_code_obstetricia,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT028,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT029,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT030,,rewrite,ok,sexo_feminino_code_needs_context,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT031,,rewrite,error,schema_error: outro erro SQL,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT032,,rewrite,error,schema_error: outro erro SQL,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT033,,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT034,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT035,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT036,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT037,,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT038,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT039,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO;sexo_feminino_code_needs_context,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT040,SIHRD5_Q019,rewrite,error,schema_error: modelo socioeconomico antigo ou indicador ausente,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q019.json
GT041,,rewrite,ok,ambiguous_uti_proxy_val_uti,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT042,,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT043,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT044,,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT046,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT047,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT048,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT049,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT050,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT051,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT052,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT053,SIHRD5_Q012,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q012.json
GT054,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT055,,rewrite,ok,question_counts_wrong_grain_raca_cor,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT056,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT057,SIHRD5_Q011,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q011.json
