id,question_pt,execution_status,read_only_status,tables_used,relationships_used,worst_relationship_confidence,uses_rejected_relationship,uses_likely_relationship_without_caveat,dropped_by_join_count,dropped_by_join_rate,invalid_domain_dependency,business_semantics_status,final_disposition,disposition_reason
SIHRD5_Q001,Quantas internacoes existem na tabela principal?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q002,Quantos registros de procedimentos realizados existem?,passed,passed,internacao_procedimento,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q003,Qual e o periodo minimo e maximo de entrada e saida das internacoes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q004,Quantos hospitais existem no cadastro de estabelecimentos?,passed,passed,hospital,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q005,Quantos municipios existem e quantas UFs brasileiras validas aparecem na dimensao territorial?,passed,passed,municipios,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q006,Quantos procedimentos distintos existem no cadastro de procedimentos?,passed,passed,procedimentos,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q007,Quantos codigos CID existem na tabela de diagnosticos?,passed,passed,cid,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q008,Qual e o intervalo de anos dos indicadores socioeconomicos?,passed,passed,socioeconomico,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q009,Quantas internacoes tiveram morte registrada?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q010,Quantas internacoes indicam uso de UTI pelo marcador de UTI?,passed,passed,internacoes;marca_uti,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q011,Qual e a menor e a maior idade registradas nas internacoes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q012,Qual e o valor total aprovado registrado em VAL_TOT?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q013,Quantos CNES distintos aparecem nas internacoes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q014,Quantos municipios de residencia distintos aparecem nas internacoes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q015,Quantos dias existem na dimensao tempo?,passed,passed,tempo,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q016,Quantas internacoes ocorreram por ano de entrada?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q017,Qual foi o valor total por ano de entrada?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q018,Quantas mortes hospitalares foram registradas por ano?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q019,Qual foi a taxa bruta de mortalidade hospitalar por ano?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q020,Qual foi o valor medio por internacao em cada ano?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q021,Quais CNES concentraram mais internacoes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q022,Quais codigos de diagnostico principal foram mais frequentes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q023,Como as internacoes se distribuem por carater de internacao?,passed,passed,car_int;internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q024,Como as internacoes se distribuem por codigo de sexo?,passed,passed,internacoes;sexo,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q025,Como as internacoes se distribuem por codigo de raca/cor?,passed,passed,internacoes;raca_cor,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q026,Qual e a distribuicao das internacoes por faixa etaria?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q027,Como as internacoes se distribuem por complexidade do atendimento?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q028,Como as internacoes se distribuem pelo marcador de UTI?,passed,passed,internacoes;marca_uti,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q029,Qual foi a media de dias de permanencia por ano segundo o campo DIAS_PERM?,passed,passed,internacoes,,none,False,False,0,0.0,False,valid_with_caveats,valid_with_caveats,valid_with_caveats
SIHRD5_Q030,Qual e a distribuicao de permanencia em faixas de dias segundo o campo DIAS_PERM?,passed,passed,internacoes,,none,False,False,0,0.0,False,valid_with_caveats,valid_with_caveats,valid_with_caveats
SIHRD5_Q031,Qual foi o valor total por codigo de complexidade?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q032,Quantas internacoes com gestacao de risco foram registradas por ano?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q033,Quantos dias de UTI foram registrados por ano?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q034,Quantas internacoes ocorreram por mes calendario?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q035,Quantas saidas hospitalares ocorreram por ano?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q036,Quais codigos PROC_REA aparecem mais na tabela de procedimentos realizados?,passed,passed,internacao_procedimento,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q037,Qual e a populacao total registrada por ano nos indicadores socioeconomicos?,passed,passed,socioeconomico,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q038,Quantos leitos SUS estao registrados por ano nos indicadores socioeconomicos?,passed,passed,socioeconomico,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q039,Quantos municipios existem por UF brasileira valida no cadastro territorial?,passed,passed,municipios,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q040,Quantos hospitais existem por tipo de gestao cadastral?,passed,passed,hospital,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q041,Quantas internacoes e qual valor total por UF de residencia? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q042,Quantas internacoes ocorreram por UF do hospital?,passed,passed,hospital;internacoes;municipios,internacoes.CNES->hospital.CNES:confirmed;hospital.MUNIC_MOV->municipios.CO_MUNICIPIO_6D:confirmed,confirmed,False,False,22,0.00320093,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q043,Como as internacoes se distribuem por sexo descrito?,passed,passed,internacoes;sexo,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q044,"Como as internacoes se distribuem por codigo de raca/cor, com descricao quando houver correspondencia na dimensao?",passed,passed,internacoes;raca_cor,internacoes.RACA_COR->raca_cor.RACA_COR:rejected,rejected,True,False,48760813,0.26518137,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q045,Quantas internacoes ocorreram por descricao do carater de internacao?,passed,passed,car_int;internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q046,Quais especialidades tiveram maior volume de internacoes?,passed,passed,especialidade;internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q047,Quantas internacoes existem por descricao de complexidade?,passed,passed,complexidade;internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q048,Quais tipos de UTI aparecem mais nas internacoes?,passed,passed,internacoes;marca_uti,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q049,Quais procedimentos realizados foram mais frequentes por descricao?,passed,passed,internacao_procedimento;procedimentos,internacao_procedimento.PROC_REA->procedimentos.PROC_REA:confirmed,confirmed,False,False,627,3.34e-06,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q050,Quais diagnosticos principais foram mais frequentes por descricao CID?,passed,passed,cid;internacoes,internacoes.DIAG_PRINC->cid.CID:confirmed,confirmed,False,False,1044,5.68e-06,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q051,Quais capitulos CID concentraram mais internacoes?,passed,passed,cid;internacoes,internacoes.DIAG_PRINC->cid.CID:confirmed,confirmed,False,False,1044,5.68e-06,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q052,Quais hospitais tiveram maior volume de internacoes?,passed,passed,hospital;internacoes,internacoes.CNES->hospital.CNES:confirmed,confirmed,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q053,Quais municipios de residencia tiveram mais internacoes? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q054,Quais regioes de saude tiveram mais internacoes por residencia? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q055,Qual e a taxa de mortalidade hospitalar por UF de residencia? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q056,Qual e a media de permanencia por UF de residencia? (considerando apenas internacoes com municipio de residencia mapeado) segundo o campo DIAS_PERM,passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,valid_with_caveats,valid_with_caveats,valid_with_caveats
SIHRD5_Q057,Qual e o valor medio por internacao em cada UF de residencia? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q058,Quais procedimentos por descricao tiveram maior valor total?,passed,passed,internacao_procedimento;internacoes;procedimentos,internacao_procedimento.N_AIH->internacoes.N_AIH:confirmed;internacao_procedimento.PROC_REA->procedimentos.PROC_REA:confirmed,confirmed,False,False,627,3.34e-06,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q059,Quais municipios dos hospitais tiveram mais internacoes?,passed,passed,hospital;internacoes;municipios,internacoes.CNES->hospital.CNES:confirmed;hospital.MUNIC_MOV->municipios.CO_MUNICIPIO_6D:confirmed,confirmed,False,False,22,0.00320093,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q060,Quais hospitais tiveram maior valor total registrado?,passed,passed,hospital;internacoes,internacoes.CNES->hospital.CNES:confirmed,confirmed,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q061,Como as internacoes por sexo se distribuem em cada UF? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios;sexo,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q062,Como a complexidade das internacoes se distribui em cada UF? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,complexidade;internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q063,Quais grupos CID foram mais frequentes entre internacoes femininas?,passed,passed,cid;internacoes;sexo,internacoes.DIAG_PRINC->cid.CID:confirmed,confirmed,False,False,1044,5.68e-06,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q064,Qual e a populacao e o total de internacoes por UF e ano quando ha denominador socioeconomico?,passed,passed,internacoes;municipios;socioeconomico,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q065,Quais municipios tiveram maior valor total por residencia? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q066,Qual foi a variacao ano contra ano no volume de internacoes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q067,Qual foi a variacao ano contra ano do valor total?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q068,Qual e a media movel de 3 meses das internacoes?,passed,passed,internacoes,,none,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q069,Quais UFs tiveram maior taxa de mortalidade entre UFs com pelo menos 100 mil internacoes? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q070,Quais procedimentos tiveram maior valor medio por ocorrencia entre os com pelo menos 10 mil ocorrencias?,passed,passed,internacao_procedimento;internacoes;procedimentos,internacao_procedimento.N_AIH->internacoes.N_AIH:confirmed;internacao_procedimento.PROC_REA->procedimentos.PROC_REA:confirmed,confirmed,False,False,627,3.34e-06,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q071,Quais hospitais estao acima do percentil 95 de volume de internacoes?,passed,passed,hospital;internacoes,internacoes.CNES->hospital.CNES:confirmed,confirmed,False,False,0,0.0,False,accepted,accepted,accepted
SIHRD5_Q072,Quais especialidades tiveram maior permanencia media entre as com pelo menos 100 mil internacoes segundo o campo DIAS_PERM?,passed,passed,especialidade;internacoes,,none,False,False,0,0.0,False,valid_with_caveats,valid_with_caveats,valid_with_caveats
SIHRD5_Q073,Qual proporcao das mortes vem de cada capitulo CID?,passed,passed,cid;internacoes,internacoes.DIAG_PRINC->cid.CID:confirmed,confirmed,False,False,1044,5.68e-06,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
SIHRD5_Q074,Quais foram os percentis de permanencia por ano segundo o campo DIAS_PERM?,passed,passed,internacoes,,none,False,False,0,0.0,False,valid_with_caveats,valid_with_caveats,valid_with_caveats
SIHRD5_Q075,Qual foi a taxa de internacoes por 1.000 habitantes por UF e ano? (considerando apenas internacoes com municipio de residencia mapeado),passed,passed,internacoes;municipios;socioeconomico,internacoes.MUNIC_RES->municipios.CO_MUNICIPIO_6D:likely,likely,False,False,1270397,0.00690894,False,accepted_with_explicit_scope,accepted_with_explicit_scope,accepted_with_explicit_scope
